Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
56,Marcus Thornton\thornma01,SG,22,NOH,73,1872,17.4,0.55,0.354,0.2,4.4,8.9,6.6,10.3,1.6,0.4,7.3,25.3,,3.1,0.9,4,0.103,,2.3,-1.4,0.9,1.4
57,Earl Watson\watsoea01,PG,30,IND,79,2322,10.9,0.517,0.351,0.323,2.5,8.8,5.6,25.6,2.2,0.5,22.6,14.7,,0.3,2.3,2.6,0.055,,-2.6,0.3,-2.3,-0.2
58,Charlie Villanueva\villach01,PF,25,DET,78,1848,16,0.526,0.341,0.157,5.2,19.6,12,5.2,1.4,2.5,7.7,23.9,,2.1,1.4,3.5,0.092,,0.8,-0.8,0,0.9
59,Stephen Curry\curryst01,PG,21,GSW,80,2896,16.3,0.568,0.332,0.175,1.8,12,6.8,24.6,2.5,0.5,16.5,21.8,,3,1.6,4.7,0.077,,1.1,-0.5,0.7,2
60,Donté Greene\greendo01,SF,21,SAC,76,1630,11.6,0.526,0.331,0.253,3.7,12.9,8.2,6.8,1.3,2.4,13.1,19.2,,0.3,1.2,1.5,0.044,,-1.2,-0.4,-1.6,0.1
61,Ersan İlyasova\ilyaser01,PF,22,MIL,81,1898,15.7,0.526,0.331,0.217,9,22.6,15.5,7.5,1.5,1,8.2,20.8,,2.5,3.3,5.8,0.146,,0.1,0.3,0.4,1.1
62,Ronald Murray\murraro01,SG,30,TOT,75,1673,11.7,0.485,0.324,0.284,2,10.6,6.4,14,1.4,0.8,10.6,23.6,,-0.2,2,1.8,0.051,,-1.7,-0.6,-2.3,-0.1
63,Shannon Brown\brownsh01,SG,24,LAL,82,1700,12.4,0.517,0.319,0.204,2,10,6,9.9,1.7,1.4,9.4,18.8,,1.1,2.3,3.4,0.096,,-1.2,0.8,-0.4,0.7
64,Vince Carter\cartevi01,SG,33,ORL,75,2310,17.1,0.541,0.319,0.301,1.7,12.6,7.3,17.8,1.2,0.6,8.4,25.2,,4.4,3,7.4,0.154,,1.6,0.4,2,2.3
65,Brandon Jennings\jennibr01,PG,20,MIL,82,2671,14.5,0.475,0.319,0.225,2,10.4,6,29.6,2.1,0.5,13,26.1,,0.3,3.9,4.2,0.075,,0.5,0.2,0.7,1.8
66,John Salmons\salmojo01,SG,30,TOT,81,2824,14.7,0.553,0.312,0.308,1.4,9.4,5.4,12.9,1.8,0.7,9.9,19.9,,3.7,3.4,7.1,0.121,,0.4,1.2,1.6,2.5
67,Jrue Holiday\holidjr01,PG,19,PHI,73,1767,12.3,0.526,0.306,0.165,3.7,9.1,6.4,24.4,2.3,0.8,21.9,18.4,,0.2,1,1.2,0.032,,-1.1,-0.6,-1.7,0.1
68,Nick Young\youngni01,SG,24,WAS,74,1421,10.7,0.519,0.305,0.233,1.6,6.7,4.1,5.7,1,0.4,8.3,21.4,,0.9,0.5,1.4,0.046,,-2,-1.7,-3.7,-0.6
69,Paul Pierce\piercpa01,SF,32,BOS,71,2411,18.2,0.613,0.303,0.499,2,13.4,7.9,15.1,1.8,1,13.6,23.8,,5,3.3,8.3,0.165,,2.3,0.7,3,3
70,Omri Casspi\casspom01,SF,21,SAC,77,1931,13,0.529,0.302,0.259,4.4,16.5,10.4,7.7,1.4,0.6,11.6,19.4,,1.1,1.4,2.5,0.063,,-0.3,-0.8,-1.1,0.4
71,O.J. Mayo\mayooj01,SG,22,MEM,82,3113,14.6,0.551,0.3,0.221,2.3,9.4,5.8,12.2,1.6,0.4,11.9,20.7,,4.3,1.4,5.6,0.087,,0.8,-0.8,0,1.6
72,J.J. Barea\bareajo01,PG,25,DAL,78,1546,12.8,0.526,0.298,0.171,1.3,9.5,5.4,26.1,1.2,0.3,15.3,19.9,,1,1.2,2.2,0.069,,-0.6,-0.7,-1.3,0.3
73,Jarrett Jack\jackja01,PG,26,TOR,82,2243,16.3,0.599,0.297,0.359,1.6,9.8,5.8,27.7,1.4,0.2,17.3,19.1,,4.5,0.2,4.8,0.102,,2,-1.6,0.4,1.4
74,Thabo Sefolosha\sefolth01,SG,25,OKC,82,2348,9.8,0.509,0.297,0.202,3.8,14.8,9.5,8.9,2.1,1.5,15.8,10.9,,0.6,3.4,4,0.082,,-1.9,2,0.1,1.3
75,Steve Nash*\nashst01,PG,35,PHO,81,2660,21.6,0.615,0.295,0.228,1.5,9.4,5.7,50.9,0.8,0.3,21.4,22.9,,9.1,0.8,9.9,0.178,,6.1,-1.8,4.3,4.2
76,Randy Foye\foyera01,PG,26,WAS,70,1667,13.2,0.516,0.294,0.234,1.1,8,4.5,22.6,1,0.5,12.1,21.1,,1.6,0.7,2.2,0.064,,0,-1.2,-1.2,0.3
77,Baron Davis\davisba01,PG,30,LAC,75,2523,17.4,0.501,0.292,0.287,2.4,9.9,6.1,39.6,2.6,1.3,15.6,24.3,,2.5,2.1,4.5,0.086,,1.5,0,1.5,2.2
78,Jeff Green\greenje02,PF,23,OKC,82,3043,13.8,0.53,0.292,0.208,4.3,13.9,9.2,7.2,1.8,1.8,10.4,19.2,,2.5,4.2,6.6,0.105,,-0.4,0.6,0.2,1.7
79,Wesley Matthews\matthwe02,SG,23,UTA,82,2025,12.3,0.592,0.292,0.342,3,8,5.6,9,1.6,0.6,12.5,16.5,,2.6,1.9,4.6,0.108,,-0.6,0,-0.5,0.8
80,Courtney Lee\leeco01,SG,24,NJN,71,2375,12.8,0.525,0.29,0.197,2.8,9.7,6.1,9,2.1,0.6,8.3,17.7,,1.8,1.3,3.1,0.063,,-1,-0.4,-1.4,0.4
81,Andrea Bargnani\bargnan01,PF,24,TOR,80,2799,15.5,0.552,0.284,0.205,4.6,15.9,10.4,5.4,0.5,3,8.8,22.3,,3.3,0.9,4.2,0.072,,0.9,-1.7,-0.8,0.9
82,Stephen Jackson\jacksst02,SG-PF,31,TOT,81,3129,15.6,0.518,0.277,0.306,3,12.2,7.7,17.7,2.2,1.1,13.9,27.5,,0.5,4.6,5,0.077,,0.3,0.1,0.4,1.9
83,Mehmet Okur\okurme01,C,30,UTA,73,2149,15.6,0.561,0.275,0.308,7.5,20.6,14.2,8.5,0.9,3,12.6,21,,2.6,3,5.6,0.126,,0.4,0.1,0.5,1.4
84,Ryan Gomes\gomesry01,SF,27,MIN,76,2210,12.1,0.528,0.272,0.172,3.8,14,8.8,8.8,1.4,0.5,10.8,17.4,,1.5,0.9,2.4,0.052,,-1,-0.8,-1.8,0.1
85,Andre Iguodala\iguodan01,SF,26,PHI,82,3193,17.8,0.535,0.271,0.384,3,16.8,9.8,23.7,2.3,1.4,14.3,21.8,,4,2.8,6.7,0.101,,2,0.4,2.4,3.5
86,Boris Diaw\diawbo01,PF,27,CHA,82,2906,12.8,0.552,0.266,0.19,5.5,11.9,8.8,18.9,1.1,1.6,17.5,16.2,,2.4,3.8,6.2,0.103,,-0.1,0.9,0.8,2
87,Luke Ridnour\ridnolu01,PG,28,MIL,82,1759,17.7,0.57,0.264,0.204,1.5,8.1,4.6,31.9,1.6,0.3,12.4,22,,4,2.2,6.2,0.168,,1.7,0.5,2.2,1.8
